Date,Open,High,Low,Close,Adj Close,Volume
2017-10-20,110.730003,110.820000,110.050003,110.300003,107.356964,37200
2017-10-23,109.870003,110.190002,109.720001,109.849998,106.918968,450000
2017-10-24,110.379997,110.480003,109.739998,110.129997,107.191498,24300
2017-10-25,110.300003,110.680000,109.900002,110.510002,107.561356,18200
2017-10-26,111.250000,111.930000,110.839996,111.250000,108.281609,26200
2017-10-27,111.250000,111.459999,110.730003,111.180000,108.213486,28500
2017-10-30,111.040001,111.470001,111.000000,111.470001,108.495743,95300
2017-10-31,111.180000,111.800003,111.180000,111.330002,108.359474,27800
2017-11-01,110.889999,110.959999,108.669998,108.750000,105.848320,329100
2017-11-02,108.949997,109.379997,108.400002,109.080002,106.169518,80400
2017-11-03,108.879997,109.120003,108.449997,108.650002,105.750984,25800
2017-11-06,106.199997,106.279999,105.750000,106.000000,103.171692,83400
2017-11-07,106.239998,106.580002,106.000000,106.400002,103.561020,23800
2017-11-08,106.629997,107.260002,106.629997,107.199997,104.339676,55900
2017-11-09,102.949997,103.269997,101.870003,102.500000,99.765076,193500
2017-11-10,105.209999,106.169998,105.080002,105.739998,102.918625,165900
2017-11-13,105.809998,107.449997,105.760002,107.440002,104.573273,35900
2017-11-14,110.110001,110.589996,109.790001,110.500000,107.551620,31900
2017-11-15,108.599998,110.540001,108.389999,109.680000,106.753502,21900
2017-11-16,109.150002,109.150002,108.500000,108.919998,106.013779,22500
2017-11-17,109.599998,109.730003,109.040001,109.430000,106.510178,49200
2017-11-20,109.330002,109.330002,108.239998,108.480003,105.585526,27600
2017-11-21,109.440002,110.209999,109.150002,110.129997,107.191498,13600
2017-11-22,109.070000,109.120003,107.559998,108.000000,105.118332,30900
2017-11-24,107.760002,107.830002,107.290001,107.440002,104.573273,9800
2017-11-27,107.190002,107.580002,106.550003,106.879997,104.028206,16900
2017-11-28,106.650002,106.650002,105.980003,106.290001,103.453957,62200
2017-11-29,107.209999,107.349998,104.919998,104.919998,102.120506,106100
2017-11-30,105.349998,105.480003,104.250000,104.440002,101.653320,54300
2017-12-01,104.250000,105.000000,104.000000,104.599998,101.809052,79000
2017-12-04,105.529999,105.570000,104.519997,104.760002,101.964783,57800
2017-12-05,104.349998,105.029999,104.349998,104.540001,101.750656,47600
2017-12-06,105.209999,106.089996,105.150002,105.589996,102.772629,28800
2017-12-07,105.790001,106.699997,105.750000,106.430000,103.590218,15400
2017-12-08,106.910004,106.970001,106.019997,106.440002,103.599953,20100
2017-12-11,103.980003,103.980003,102.709999,103.470001,100.709198,47200
2017-12-12,102.529999,102.550003,101.389999,101.970001,99.249229,49500
2017-12-13,99.330002,99.830002,98.230003,99.510002,96.854858,151500
2017-12-14,100.070000,100.730003,99.139999,99.199997,96.553131,115800
2017-12-15,101.190002,101.639999,100.790001,101.379997,98.674965,108200
2017-12-18,102.419998,102.800003,102.120003,102.230003,99.502289,23300
2017-12-19,102.360001,102.480003,101.730003,102.220001,99.492554,121800
2017-12-20,101.610001,101.660004,100.930000,101.180000,98.480301,72200
2017-12-21,101.129997,101.419998,100.400002,100.540001,97.857376,98000
2017-12-22,100.120003,100.910004,100.089996,100.589996,97.906036,49400
2017-12-26,101.620003,101.620003,100.379997,101.160004,98.460838,27000
2017-12-27,101.349998,101.349998,100.879997,101.080002,98.382973,38100
2017-12-28,101.239998,101.300003,100.389999,100.519997,97.837906,35700
2017-12-29,100.209999,100.389999,99.769997,99.820000,97.156586,31300
2018-01-02,99.650002,100.809998,99.589996,100.739998,98.052040,30900
2018-01-03,100.660004,101.190002,100.300003,101.059998,98.363495,226700
2018-01-04,103.160004,103.699997,102.650002,102.800003,100.057083,119800
2018-01-05,103.489998,103.980003,103.330002,103.930000,101.156929,33800
2018-01-08,103.580002,103.580002,103.239998,103.489998,100.728668,52500
2018-01-09,101.260002,101.320000,100.680000,101.089996,98.392700,36700
2018-01-10,100.910004,100.910004,100.250000,100.449997,97.769775,65400
2018-01-11,99.980003,100.769997,99.959999,100.589996,97.906036,42000
2018-01-12,103.209999,103.279999,102.150002,102.940002,100.193336,30800
